dir,folder,image_name,x,y,frame_number,sequence_id,sequence_id_original,number_of_points,name,height,DateTimeOriginal,ImageWidth,ImageHeight,station,deployment,species,count,contact,radius,angle,frame_count,observation_id
/fastapi/runs/example/deployment/S01,S01,IMG_0001.JPG,2509,1430,0,0,0,5,fox,1,2017:10:02 19:06:43,2048,1536,S01,S01,fox,1,1,1.6543929488,0.5414954039000001,1,08b15588-a8f4-4223-a050-52e506783888
/fastapi/runs/example/deployment/S01,S01,IMG_0002.JPG,2057,1354,1,0,0,5,fox,1,2017:10:02 19:06:44,2048,1536,S01,S01,fox,1,0,2.0413943524000002,0.37667660080000004,2,08b15588-a8f4-4223-a050-52e506783888
/fastapi/runs/example/deployment/S01,S01,IMG_0004.JPG,1141,1343,2,0,0,5,fox,1,2017:10:02 19:06:45,2048,1536,S01,S01,fox,1,0,2.620791475,0.042663274200000004,3,08b15588-a8f4-4223-a050-52e506783888
/fastapi/runs/example/deployment/S01,S01,IMG_0003.JPG,1648,1325,3,0,0,5,fox,1,2017:10:02 19:06:45,2048,1536,S01,S01,fox,1,0,2.3773682681,0.22753746260000002,4,08b15588-a8f4-4223-a050-52e506783888
/fastapi/runs/example/deployment/S01,S01,IMG_0005.JPG,811,1267,4,0,0,5,fox,1,2017:10:02 19:06:46,2048,1536,S01,S01,fox,1,0,3.5697911862,-0.0776690377,5,08b15588-a8f4-4223-a050-52e506783888
/fastapi/runs/example/deployment/S01,S01,IMG_0011.JPG,1043,1463,0,0,0,9,fox,1,2017:10:02 19:07:57,2048,1536,S01,S01,fox,1,1,2.1053615228,0.006928224,1,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0015.JPG,1119,1463,1,0,0,9,fox,1,2017:10:02 19:07:59,2048,1536,S01,S01,fox,1,0,2.0696549232,0.0346411201,2,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0016.JPG,1119,1463,2,0,0,9,fox,1,2017:10:02 19:08:00,2048,1536,S01,S01,fox,1,0,2.0696549232,0.0346411201,3,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0017.JPG,1119,1463,3,0,0,9,fox,1,2017:10:02 19:08:01,2048,1536,S01,S01,fox,1,0,2.0696549232,0.0346411201,4,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0018.JPG,1119,1463,4,0,0,9,fox,1,2017:10:02 19:08:01,2048,1536,S01,S01,fox,1,0,2.0696549232,0.0346411201,5,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0019.JPG,1119,1463,5,0,0,9,fox,1,2017:10:02 19:08:02,2048,1536,S01,S01,fox,1,0,2.0696549232,0.0346411201,6,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0020.JPG,1119,1463,6,0,0,9,fox,1,2017:10:02 19:08:03,2048,1536,S01,S01,fox,1,0,2.0696549232,0.0346411201,7,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0021.JPG,1206,1477,7,0,0,9,fox,1,2017:10:02 19:08:04,2048,1536,S01,S01,fox,1,0,1.9814380982,0.0663650933,8,e39abc57-334c-474c-997b-7a56cbfe938f
/fastapi/runs/example/deployment/S01,S01,IMG_0022.JPG,2401,1459,8,0,0,9,fox,1,2017:10:02 19:08:05,2048,1536,S01,S01,fox,1,0,1.618293057,0.50211392,9,e39abc57-334c-474c-997b-7a56cbfe938f
